,DOTUSDT,CELOUSDT,Spread,Z-Score
0,7.612,0.898,0.023900000000000254,
1,7.609,0.896,0.03780000000000072,
2,7.533,0.887,0.037850000000000605,
3,7.572,0.895,0.009250000000000647,
4,7.621,0.897,0.04135000000000133,
5,7.637,0.891,0.10805000000000042,
6,7.612,0.895,0.04925000000000068,
7,7.555,0.891,0.026050000000000573,
8,7.619,0.892,0.0815999999999999,
9,7.567,0.883,0.10565000000000069,
10,7.431,0.866,0.11330000000000062,
11,7.536,0.88,0.10000000000000053,
12,7.583,0.881,0.1385500000000004,
13,7.607,0.892,0.06960000000000033,
14,7.567,0.888,0.06340000000000057,
15,7.541,0.882,0.08810000000000073,
16,7.492,0.878,0.07290000000000063,
17,7.45,0.879,0.02245000000000097,
18,7.433,0.878,0.013900000000000468,
19,7.478,0.886,-0.008699999999999264,
20,7.457,0.88,0.021000000000000796,-0.9119636858187045
21,7.469,0.879,0.0414500000000011,-0.4327928128130294
22,7.536,0.881,0.0915499999999998,0.7536881581577197
23,7.524,0.878,0.10490000000000066,0.9891245723888634
24,7.539,0.88,0.10300000000000065,0.8593133982117444
25,7.586,0.885,0.10775000000000112,0.8917709449391087
26,7.59,0.882,0.13710000000000022,1.5236131996831637
27,7.536,0.876,0.13379999999999992,1.2986421535765955
28,7.562,0.88,0.12600000000000122,1.0194560710748817
29,7.585,0.881,0.14055000000000017,1.2398332270700045
30,7.549,0.872,0.18060000000000098,1.8676716132025357
31,7.501,0.868,0.1664000000000012,1.4506754590494393
32,7.42,0.869,0.07695000000000096,-0.25251975138600236
33,7.51,0.893,-0.03584999999999994,-2.047910272734164
34,7.383,0.87,0.031500000000000306,-0.8291318778136609
35,7.257,0.851,0.06605000000000061,-0.2400588316676158
36,7.187,0.839,0.09745000000000115,0.28959776620921573
37,7.208,0.85,0.025500000000000966,-0.8836809686107489
38,7.141,0.848,-0.02459999999999951,-1.6045625844508944
39,7.119,0.843,-0.004349999999999632,-1.2474311181484967
40,7.119,0.844,-0.012799999999999478,-1.371038939663363
41,7.128,0.839,0.03845000000000098,-0.5890269823763027
42,7.145,0.842,0.030100000000000016,-0.7082843983746209
43,7.232,0.861,-0.0434499999999991,-1.6358620978198184
44,7.206,0.856,-0.02719999999999878,-1.2608449888409488
45,7.199,0.858,-0.051099999999999035,-1.423996185268229
46,7.292,0.876,-0.11019999999999985,-1.8955163934836508
47,7.264,0.865,-0.045249999999999346,-1.002566040349843
48,7.261,0.87,-0.09049999999999958,-1.4067850360011698
49,7.256,0.866,-0.0616999999999992,-0.9638875823822439
50,7.241,0.868,-0.09359999999999946,-1.2478081724469026
51,7.122,0.851,-0.06894999999999918,-0.8934507205488312
52,7.054,0.844,-0.07779999999999898,-1.0084615856060388
53,7.109,0.851,-0.08194999999999908,-0.9956811566848268
54,7.138,0.85,-0.04449999999999932,-0.32454906030043945
55,7.151,0.851,-0.039949999999999264,-0.18903937390798026
56,7.157,0.852,-0.04239999999999888,-0.152221860598836
57,7.218,0.854,0.001700000000000479,0.9857967456840447
58,7.262,0.859,0.003449999999999953,1.0916797332684323
59,7.234,0.853,0.02615000000000034,1.505640892689404
60,7.326,0.867,-0.0001499999999996504,0.8790559642306329
61,7.262,0.859,0.003449999999999953,0.9317766454955463
62,7.19,0.853,-0.017849999999999255,0.5431794393486171
63,7.26,0.862,-0.023899999999999366,0.49439971428294444
64,7.254,0.863,-0.03834999999999944,0.09691392460894234
65,7.265,0.866,-0.05269999999999975,-0.25897770730185365
66,7.229,0.862,-0.05489999999999906,-0.3132899483749935
67,7.261,0.867,-0.06514999999999915,-0.7038079563921443
68,7.234,0.863,-0.058349999999999014,-0.48299626843169957
69,7.245,0.867,-0.08114999999999917,-1.1827189282744515
70,7.232,0.864,-0.06879999999999953,-0.7996321978121517
71,7.28,0.865,-0.029249999999999332,0.2950692148712109
72,7.274,0.864,-0.026799999999999713,0.31580306474707576
73,7.307,0.87,-0.04449999999999932,-0.31802209592795755
74,7.318,0.873,-0.058849999999999625,-0.8798495902631058
75,7.302,0.871,-0.057949999999999946,-0.8139275923324738
76,7.289,0.864,-0.011800000000000033,0.7368692172330613
77,7.295,0.864,-0.005799999999999805,0.8677875110092902
78,7.272,0.862,-0.011899999999998911,0.6983033223332303
79,7.307,0.864,0.0062000000000006494,1.3101385378457688
80,7.327,0.872,-0.04139999999999944,-0.23731018711992083
81,7.305,0.872,-0.06339999999999968,-0.9913469546430058
82,7.294,0.87,-0.05750000000000011,-0.6869631916895719
83,7.272,0.87,-0.07949999999999946,-1.4411062962435248
84,7.305,0.883,-0.15634999999999977,-3.095065970164518
85,7.329,0.886,-0.15769999999999929,-2.460000025098777
86,7.349,0.887,-0.14614999999999956,-1.872551049307618
87,7.347,0.89,-0.17349999999999888,-2.0678112767491172
88,7.376,0.89,-0.14449999999999896,-1.3643244832331896
89,7.361,0.891,-0.16794999999999938,-1.584052545044265
90,7.338,0.89,-0.18249999999999922,-1.6247244473748015
91,7.352,0.891,-0.17694999999999883,-1.3814502520441503
92,7.382,0.891,-0.14694999999999947,-0.8455089098035702
93,7.419,0.893,-0.12685000000000013,-0.4803879991284879
94,7.476,0.894,-0.07829999999999959,0.29266348741901804
95,7.484,0.896,-0.08719999999999928,0.17678684169394615
96,7.434,0.888,-0.06959999999999944,0.4638047151820012
97,7.47,0.889,-0.0420499999999997,0.9469777446420692
98,7.406,0.879,-0.021549999999999514,1.3153866707777255
99,7.409,0.879,-0.0185499999999994,1.380973183834279
100,7.398,0.878,-0.021099999999999675,1.4116632542491052
101,7.434,0.882,-0.018899999999999473,1.3977137528285792
102,7.429,0.879,0.0014500000000010616,1.5903393983007519
103,7.384,0.879,-0.04354999999999887,0.8578492598859637
104,7.459,0.891,-0.06994999999999951,0.4336670347965076
105,7.441,0.886,-0.045699999999999186,0.7380035252036127
106,7.46,0.898,-0.12809999999999988,-0.601195003998949
107,7.496,0.896,-0.07519999999999882,0.2027400833092068
108,7.583,0.903,-0.04734999999999978,0.5895806288764324
109,7.579,0.895,0.01625000000000032,1.5074937353205897
110,7.538,0.889,0.025950000000000806,1.5226724989941207
111,7.513,0.885,0.034750000000000725,1.5678513444197633
112,7.507,0.883,0.04565000000000019,1.6724831088814678
113,7.544,0.885,0.06575000000000042,1.8732754938485872
114,7.549,0.882,0.09610000000000074,2.1391861468513147
115,7.559,0.885,0.08075000000000099,1.6433545727046703
116,7.574,0.889,0.061950000000000394,1.2025620451400854
117,7.554,0.883,0.09265000000000079,1.5389718878345267
118,7.539,0.884,0.06920000000000037,1.0460732979774356
119,7.533,0.894,-0.02129999999999921,-0.4238560107783663
120,7.49,0.893,-0.05584999999999951,-0.9373721683261736
121,7.489,0.899,-0.10754999999999981,-1.5853752279874378
122,7.467,0.899,-0.12955000000000005,-1.6938634044764098
123,7.425,0.891,-0.10394999999999932,-1.2222722130049701
124,7.39,0.882,-0.06289999999999996,-0.6634564037081341
125,7.408,0.879,-0.019549999999998846,-0.1283634702442984
126,7.441,0.884,-0.028799999999999493,-0.2632726748130437
127,7.457,0.885,-0.021249999999999325,-0.24698332320852764
128,7.476,0.889,-0.03604999999999947,-0.4963384904995426
129,7.482,0.886,-0.004699999999998816,-0.0678777778014142
130,7.466,0.886,-0.02069999999999883,-0.2786362372253821
131,7.51,0.895,-0.05274999999999963,-0.691844897208692
132,7.522,0.889,0.009950000000000792,0.24787089344683041
133,7.734,0.901,0.1205500000000006,1.7118529528076845
134,7.714,0.912,0.007600000000000939,0.1926474565507982
135,7.679,0.904,0.04020000000000046,0.7231372236587218
136,7.627,0.9,0.02200000000000024,0.5160350193239543
137,7.552,0.886,0.06530000000000058,1.177721153034622
138,7.674,0.898,0.08590000000000053,1.5115529621087929
139,7.646,0.895,0.08325000000000049,1.43901525838622
140,7.604,0.893,0.05815000000000037,0.9733391914097966
141,7.635,0.891,0.10605000000000064,1.4975357926353523
142,7.601,0.877,0.19035000000000046,2.272930771747214
143,7.554,0.866,0.23630000000000084,2.4286972054786196
144,7.579,0.875,0.1852500000000008,1.6520959887245479
145,7.535,0.868,0.20040000000000102,1.6337116397572853
146,7.399,0.857,0.157350000000001,1.0337683551591443
147,7.42,0.866,0.1023000000000005,0.34335619084450414
148,7.398,0.865,0.0887500000000001,0.12641266542661755
149,7.336,0.868,0.001400000000001178,-0.9841850380858735
150,7.411,0.868,0.07640000000000047,-0.09790613004073251
151,7.43,0.875,0.03625000000000078,-0.6752985029982327
152,7.432,0.872,0.06360000000000099,-0.42218700490285427
153,7.398,0.876,-0.0041999999999999815,-1.392362411308166
154,7.369,0.871,0.009050000000000225,-1.0919501836447598
155,7.32,0.869,-0.023049999999998683,-1.4834272107992992
156,7.32,0.865,0.010750000000000703,-0.9833472764309986
157,7.388,0.876,-0.014199999999999768,-1.2651245879046304
158,7.348,0.865,0.038750000000000284,-0.5461472991417986
159,7.375,0.869,0.03195000000000103,-0.5960453902187948
160,7.359,0.866,0.04130000000000056,-0.44639265815937595
161,7.434,0.879,0.006450000000000955,-0.8494524033195225
162,7.401,0.883,-0.06034999999999968,-1.5053911678540945
163,7.401,0.877,-0.009649999999999714,-0.8204059549499074
164,7.369,0.873,-0.007849999999999469,-0.7508218088762136
165,7.368,0.875,-0.025749999999998607,-0.952114377580611
166,7.341,0.866,0.023300000000000765,-0.05046151334428105
167,7.342,0.873,-0.034849999999999604,-1.229603717202203
168,7.355,0.871,-0.004949999999999122,-0.4439070625076549
169,7.388,0.87,0.0365000000000002,0.8217461640000869
170,7.418,0.877,0.007350000000000634,-0.06067660716518654
171,7.43,0.879,0.0024500000000005073,-0.11496668478293615
172,7.472,0.883,0.010650000000000936,0.20917732848243428
173,7.407,0.876,0.0048000000000003595,0.1168251679121097
174,7.425,0.88,-0.010999999999999233,-0.4897434146943154
175,7.412,0.883,-0.04934999999999956,-1.7319219764157237
176,7.47,0.88,0.034000000000000696,1.1501294650649891
177,7.374,0.867,0.04785000000000039,1.486876243462255
178,7.353,0.866,0.03530000000000033,0.9740095951213908
179,7.311,0.862,0.02710000000000079,0.7363983228151434
180,7.256,0.861,-0.01944999999999908,-0.7391541292973679
181,7.223,0.858,-0.027099999999999014,-0.9085042555445583
182,7.251,0.869,-0.09204999999999863,-2.464625985350732
183,7.249,0.861,-0.02644999999999964,-0.682335255376774
184,7.216,0.855,-0.008749999999999147,-0.15117018709685487
185,7.183,0.851,-0.007949999999999235,-0.12695190182099234
186,7.181,0.849,0.006950000000000678,0.2771955941922327
187,7.194,0.85,0.011500000000000732,0.4372570517622559
188,7.175,0.849,0.0009500000000004505,0.06245581232347172
189,7.175,0.845,0.034750000000000725,1.0382459607550287
190,7.159,0.843,0.035650000000000404,1.068560631791438
191,7.199,0.85,0.016500000000000625,0.4655233157108907
192,7.202,0.853,-0.005849999999999689,-0.2046614615867279
193,7.224,0.854,0.007700000000000706,0.21318637002855226
194,7.175,0.851,-0.015949999999999243,-0.4762045907997215
195,7.139,0.848,-0.02659999999999929,-0.7671119965888142
196,7.045,0.831,0.02305000000000046,0.6479119214871769
197,6.973,0.825,0.0017500000000012506,0.02743332841325639
198,7.045,0.83,0.031500000000001194,1.0482917249382402
199,7.015,0.827,0.026850000000000485,0.9200042314796757
